#{"t_start": 1658587415.733276, "env_id": "LunarLander-v2"}
r,l,t
28.674235,1000,48.250315
-222.281301,468,48.8061
-149.277029,385,49.192316
-209.788465,354,49.57421
-175.413825,198,50.72678
-32.826283,288,51.033497
-101.003457,366,51.42458
-53.986849,221,51.618818
102.468389,1000,53.825732
-169.538003,394,55.233693
-152.697519,479,55.765552
-61.795449,196,55.930661
-0.563401,1000,57.67949
-96.099272,555,59.524467
-18.357241,394,59.957354
-91.518036,347,60.370871
-13.083923,276,60.62584
-44.377534,326,60.979758
52.26464,1000,64.085381
64.557679,1000,65.703362
-118.068415,223,65.899863
-89.607814,428,67.434073
-116.170719,355,67.866575
54.612896,1000,69.798399
-26.842269,508,71.440175
48.323455,1000,73.625952
-26.873041,1000,76.792784
23.214534,1000,78.360071
-155.252108,1000,81.192992
-51.01214,1000,83.218782
-124.567489,509,83.785107
-161.004794,1000,87.371952
-32.778245,385,87.784448
41.756843,1000,90.088599
85.01701,1000,93.335741
94.087823,1000,95.305649
-129.16702,534,97.099704
99.853877,1000,99.270432
70.726894,1000,101.968653
39.713745,1000,103.935851
-101.26398,578,104.657147
170.46342,598,106.553239
-96.048782,1000,108.066259
-89.209545,1000,110.378506
50.957081,1000,112.906872
18.342381,775,115.227376
-18.315217,1000,116.858644
149.595127,566,117.557481
143.858446,736,119.977865
21.675958,1000,122.182761
-82.082373,444,122.912317
-5.016642,1000,126.239309
-1.999721,1000,128.424911
-50.456232,1000,131.987914
60.739773,985,133.80149
136.904568,994,136.284742
26.814324,1000,138.334157
63.330405,1000,141.7056
-138.154004,978,143.317929
-158.968834,966,146.243687
-79.127805,1000,147.771534
84.527358,1000,150.599183
83.357551,1000,153.066002
-163.95425,984,155.68155
63.140847,1000,158.374348
55.905236,1000,161.861174
-55.460422,1000,163.550938
70.915603,1000,166.992476
-88.750401,1000,169.039724
-50.930519,1000,172.297351
-5.479882,1000,174.694275
-50.6351,1000,178.503369
0.291014,1000,180.607148
116.647964,873,183.446319
-89.487735,1000,184.924481
217.862026,678,185.837503
205.844667,670,187.906406
-29.737135,1000,190.022716
219.356636,596,190.81712
142.070023,790,192.91293
216.006965,631,193.935229
172.811108,682,195.2606
195.982395,624,197.277912
-141.615356,757,198.364005
113.646769,957,201.411173
-138.575403,575,202.431352
244.286174,524,203.091488
110.787253,743,205.468687
-142.585133,784,206.580745
-95.258269,733,207.556049
-140.538903,756,209.603256
198.514216,610,210.631023
-37.079803,1000,212.574418
4.172303,1000,215.279072
5.548001,1000,217.546851
200.464438,626,219.484295
76.292262,950,221.352269
236.879344,569,222.034613
-92.667081,556,223.82493
163.84188,568,224.574771
226.986515,486,225.157261
5.405937,1000,228.557714
106.407901,718,229.862675
132.265684,709,230.913148
-126.941576,659,233.048456
124.300228,715,234.143749
-94.875528,724,235.070106
200.497848,668,237.153186
163.461472,602,238.061174
198.643145,641,239.115579
91.997234,1000,241.388042
-119.149337,620,242.263855
-130.943935,547,243.003221
174.804271,707,245.515195
-69.448461,552,246.344027
214.968081,581,247.271007
-54.781141,449,249.078989
-83.719539,603,250.242359
-124.109357,711,251.408065
-175.567421,656,252.70593
-137.850996,779,255.394135
11.685281,1000,257.111458
134.124377,781,259.940557
233.496473,558,260.682997
234.137439,513,261.382789
-40.417994,1000,263.933545
-3.489395,1000,265.844653
62.710886,1000,268.255563
67.138761,994,269.914812
-128.419492,601,271.78414
-150.513693,765,273.138129
-59.054529,508,273.898501
-89.575149,633,274.733074
225.376094,600,276.439099
-38.075707,499,277.098534
226.698466,590,277.943925
-67.485219,1000,280.632772
-157.319529,876,282.154306
182.41738,606,283.257911
-25.165068,1000,287.356045
-102.957827,701,288.643738
-13.285749,1000,291.107881
145.902478,704,292.305577
67.896188,1000,295.546519
-46.731277,1000,297.305172
140.684517,704,298.926571
145.792318,849,301.548463
59.628894,1000,303.310929
-42.082539,571,305.113915
169.897587,751,306.619319
-44.877639,1000,308.639946
195.2365,576,310.509245
169.350865,715,311.672306
-148.971381,831,314.052648
-32.639735,1000,315.975265
125.822957,771,317.49628
148.401258,685,319.602455
-64.204712,417,320.107565
-62.202104,550,320.840123
43.026449,1000,323.267494
-6.574619,1000,325.255635
192.731784,672,327.279142
183.455347,613,328.102198
-18.103807,1000,329.736108
191.254276,565,331.599824
128.338008,848,333.120579
216.173276,656,334.020032
-42.100229,1000,336.40483
143.169551,801,337.880944
